Geneid,Ctr_s1,Ctr_s2,Ctr_s7,Ctr_s13,RS_s6,RS_s9,RS_s12,RS_s16
ENSG00000283356,0,0,0,0,0,0,0,0
ENSG00000011021,209,263,204,230,216,117,163,146
ENSG00000272482,16,19,20,5,34,15,25,18
ENSG00000284747,5,3,6,3,7,1,5,1
ENSG00000215912,5,2,2,1,4,2,3,4
ENSG00000120952,0,0,0,0,0,0,0,0
ENSG00000243073,0,0,0,0,0,0,0,0
ENSG00000142615,0,1,0,0,0,0,0,0
ENSG00000215704,0,1,0,0,0,0,0,0
ENSG00000065526,1190,1551,1650,1463,1223,863,812,844
ENSG00000175756,833,911,1001,1144,715,409,731,628
ENSG00000229484,0,0,0,0,0,0,0,0
ENSG00000157916,1571,2525,1582,2212,2076,1033,1782,1791
ENSG00000157881,232,255,255,316,132,138,196,169
ENSG00000116213,169,182,236,226,131,102,192,130
ENSG00000283611,0,0,0,0,0,0,0,0
ENSG00000238290,1,0,1,1,1,0,0,0
ENSG00000225387,0,0,0,0,0,0,0,0
ENSG00000127463,2230,2632,2127,2842,1970,1854,1770,2098
ENSG00000048707,979,948,1106,946,1015,808,997,907
ENSG00000158748,0,1,5,3,1,1,3,1
ENSG00000235643,0,0,0,0,0,0,1,0
ENSG00000225196,0,0,0,0,0,0,0,0
ENSG00000130762,15,3,11,36,2,28,36,55
ENSG00000187144,0,0,0,0,0,0,0,0
ENSG00000162444,0,0,1,2,0,0,2,0
ENSG00000279169,0,0,0,0,0,0,0,0
ENSG00000279625,0,0,0,0,0,0,0,0
ENSG00000180758,80,65,93,67,54,95,81,74
ENSG00000231219,0,0,0,0,0,0,0,0
ENSG00000229010,0,0,0,0,0,0,0,0
ENSG00000184677,302,527,423,374,362,245,307,287
ENSG00000230679,0,0,1,1,0,0,0,0
ENSG00000270136,0,0,0,0,0,0,0,0
ENSG00000132879,69,106,125,150,129,33,168,171
ENSG00000187545,0,0,0,0,0,0,0,0
ENSG00000288398,64,75,72,73,69,41,57,57
ENSG00000224621,1,1,0,0,0,0,2,0
ENSG00000239810,0,0,0,0,0,0,0,0
ENSG00000285833,0,0,0,0,0,0,0,0
ENSG00000224459,0,0,0,0,0,0,0,0
ENSG00000116731,508,859,662,623,488,331,522,436
ENSG00000116721,0,0,0,0,1,0,1,0
ENSG00000215785,0,0,0,0,0,0,0,0
ENSG00000131697,173,208,254,235,148,149,230,206
ENSG00000284692,0,0,0,0,0,0,0,0
ENSG00000284745,0,0,0,0,0,0,0,0
ENSG00000225952,0,0,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0,0,0
ENSG00000088280,374,140,575,230,272,200,406,152
ENSG00000188807,194,176,296,282,167,85,178,119
ENSG00000284693,18,16,29,26,9,14,15,6
ENSG00000232298,0,0,0,0,0,0,0,0
ENSG00000227634,0,0,0,0,0,0,0,0
ENSG00000225315,0,0,0,0,0,0,0,0
ENSG00000198793,831,1379,971,1241,963,581,773,859
ENSG00000078900,0,0,1,1,1,1,0,0
ENSG00000142661,1,0,0,2,0,3,1,10
ENSG00000285945,0,0,0,0,0,0,0,0
ENSG00000171819,0,0,0,1,0,1,0,2
ENSG00000229162,0,0,1,0,0,0,1,0
ENSG00000197921,0,0,0,1,0,0,0,0
ENSG00000233755,0,0,0,0,0,0,0,0
ENSG00000116288,1842,2115,1727,2159,1269,875,1502,1358
ENSG00000238164,3,0,1,0,3,5,1,1
ENSG00000233929,2,4,1,2,2,0,4,0
ENSG00000287810,0,0,0,0,0,0,0,0
ENSG00000271742,0,1,0,0,0,0,0,0
ENSG00000142677,2,0,0,6,0,3,0,1
ENSG00000131910,0,0,0,0,0,0,0,0
ENSG00000185436,0,0,1,1,0,0,0,0
ENSG00000131914,0,0,0,2,0,0,0,3
ENSG00000226396,12,7,11,12,10,6,10,6
ENSG00000232423,0,0,0,0,0,0,0,0
ENSG00000229247,0,0,0,0,0,0,0,0
ENSG00000169504,26048,17698,22564,20725,12034,21904,26092,18839
ENSG00000224311,0,0,0,0,0,0,0,0
ENSG00000225159,2,1,1,3,3,0,1,0
ENSG00000260063,17,14,21,22,15,5,6,3
ENSG00000272088,2,0,3,4,0,14,3,6
ENSG00000228338,0,0,0,0,0,0,0,0
ENSG00000270728,12,9,7,10,4,5,2,6
ENSG00000169641,1185,1836,1492,1796,1430,732,1597,1156
ENSG00000181773,30,80,58,58,40,21,34,15
ENSG00000175707,0,0,0,0,1,0,0,0
ENSG00000241547,10,6,4,6,3,4,3,9
ENSG00000224129,0,0,0,0,0,0,0,0
ENSG00000234166,0,0,0,0,0,0,0,0
ENSG00000230228,0,0,0,1,0,0,0,0
ENSG00000237436,0,0,1,0,2,0,0,0
ENSG00000233954,80,125,66,88,73,42,61,58
ENSG00000174950,0,0,0,0,0,0,0,0
ENSG00000235282,0,0,0,0,1,0,0,0
ENSG00000055070,2183,3093,2397,2944,2236,1085,2158,2271
ENSG00000225891,0,1,0,3,0,1,1,2
ENSG00000175087,115,75,171,140,56,50,80,45
ENSG00000171735,225,354,261,275,241,134,222,177
ENSG00000157191,732,1098,835,1087,918,558,805,741
ENSG00000270733,1,0,1,0,0,0,0,0
ENSG00000284699,0,0,0,0,1,0,0,0
ENSG00000133226,999,1289,1484,1347,957,714,914,763
ENSG00000229985,0,0,0,0,0,0,0,0
ENSG00000162482,5,3,1,1,0,4,4,5
ENSG00000230035,0,0,0,0,0,0,0,0
ENSG00000235185,0,0,0,0,0,0,0,0
ENSG00000236782,2,2,4,5,0,4,1,3
ENSG00000215910,0,0,0,0,0,0,0,1
ENSG00000116663,8,5,25,33,41,10,52,37
ENSG00000225643,0,0,3,2,2,1,5,1
ENSG00000215695,0,0,0,0,0,0,0,0
ENSG00000284666,0,0,0,0,0,0,0,0
ENSG00000243659,0,0,0,0,0,0,0,0
ENSG00000240553,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0
ENSG00000215906,0,0,0,0,0,0,0,0
ENSG00000230703,0,0,0,0,0,0,0,0
ENSG00000188822,0,0,0,0,0,0,0,0
ENSG00000232848,1,1,0,0,2,1,0,0
ENSG00000234397,1,0,1,0,0,0,0,0
ENSG00000090273,1427,1911,1969,1694,1619,647,1081,856
ENSG00000284309,0,0,0,0,0,0,0,0
ENSG00000227868,0,0,1,0,0,0,1,1
ENSG00000269925,6,5,2,4,4,3,6,6
ENSG00000142751,310,475,333,374,306,212,345,319
ENSG00000189266,800,892,856,632,511,453,525,353
ENSG00000162511,1,6,2,4,0,0,0,0
ENSG00000158014,0,0,0,0,0,0,0,0
ENSG00000204138,323,505,459,472,248,180,229,242
ENSG00000233419,0,0,0,0,0,0,0,0
ENSG00000235263,0,0,0,0,0,0,0,0
ENSG00000228176,1,0,0,1,0,0,0,0
ENSG00000229106,0,0,0,0,0,0,0,0
ENSG00000236155,2,0,1,1,0,0,2,1
ENSG00000231251,0,0,0,0,0,0,0,0
ENSG00000142675,4,5,4,7,2,5,3,5
ENSG00000197245,0,0,0,0,0,0,0,0
ENSG00000231949,0,0,0,0,0,0,0,0
ENSG00000261025,0,0,0,0,0,0,0,0
ENSG00000116237,2165,2715,2721,2393,2007,1405,1896,1413
ENSG00000158195,2213,2386,2931,2715,1697,1317,1639,1242
ENSG00000130772,179,177,211,188,187,100,162,130
ENSG00000215899,0,0,1,0,0,0,1,0
ENSG00000237429,0,2,0,3,0,0,0,1
ENSG00000271398,0,0,0,0,1,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0
ENSG00000215905,0,0,0,0,0,0,0,0
ENSG00000240731,34,24,38,22,14,16,15,18
ENSG00000235069,0,0,0,0,0,0,0,0
ENSG00000172746,0,2,1,1,0,1,0,1
ENSG00000284676,0,0,0,0,0,0,0,0
ENSG00000237058,0,0,0,0,0,0,0,0
ENSG00000204160,269,352,353,390,352,185,335,325
ENSG00000233399,0,0,0,0,0,0,0,0
ENSG00000090020,954,1060,1405,994,1432,915,1132,867
ENSG00000225990,0,0,0,0,0,0,0,0
ENSG00000157978,301,311,587,590,266,291,545,622
ENSG00000226944,2,1,1,2,1,3,5,1
ENSG00000158246,15,6,35,21,2,8,7,11
ENSG00000270282,0,0,0,0,0,0,0,0
ENSG00000130770,738,1179,829,990,807,460,832,1077
ENSG00000117305,288,369,280,324,298,143,282,290
ENSG00000235131,0,0,0,0,0,0,0,0
ENSG00000229044,0,0,0,1,0,0,0,0
ENSG00000162512,1444,1215,2374,1814,2309,1289,2596,2031
ENSG00000179840,0,0,0,0,0,0,0,0
ENSG00000272449,1,0,2,0,0,0,2,1
ENSG00000214973,3,1,5,0,4,1,3,1
ENSG00000198746,99,97,95,103,71,39,72,42
ENSG00000158006,198,288,231,194,243,143,208,173
ENSG00000188529,1307,1744,1572,1507,1035,754,1015,779
ENSG00000214812,1,1,2,0,0,1,0,0
ENSG00000142784,676,837,757,733,562,556,811,587
ENSG00000230023,0,0,0,0,0,0,0,0
ENSG00000227950,0,0,0,0,0,0,0,0
ENSG00000117682,635,987,658,884,833,466,767,688
ENSG00000175793,4,3,8,6,3,0,0,0
ENSG00000126698,1223,1531,1471,1403,1037,698,1098,917
ENSG00000229447,3,1,0,1,2,1,0,1
ENSG00000229607,0,0,0,0,0,0,0,0
ENSG00000229994,5,5,4,2,0,0,2,4
ENSG00000130766,692,386,645,350,807,817,441,324
ENSG00000168528,280,1015,606,713,1498,245,824,1371
ENSG00000196581,0,0,0,0,6,0,1,0
ENSG00000169403,1,1,2,2,0,1,1,2
ENSG00000117676,20,35,50,30,43,9,24,14
ENSG00000198830,1744,1097,2431,1841,697,585,646,394
ENSG00000225126,0,0,0,0,0,0,0,0
ENSG00000084628,1,11,1,0,1,1,3,3
ENSG00000060688,426,549,549,537,316,194,247,254
ENSG00000236335,0,0,0,0,0,0,0,0
ENSG00000171612,60,78,84,66,51,47,71,27
ENSG00000241169,0,0,0,0,0,0,0,0
ENSG00000278572,0,0,0,0,0,0,0,1
ENSG00000227001,7,3,6,11,0,3,2,3
ENSG00000270927,0,0,0,0,0,0,0,0
ENSG00000226698,0,0,0,0,0,0,0,0
ENSG00000284744,0,1,0,0,0,0,0,0
ENSG00000162458,853,1067,625,1799,937,266,674,1330
ENSG00000188910,5,1,1,18,0,0,1,12
ENSG00000230523,0,0,0,0,0,0,0,0
ENSG00000186056,5,5,4,10,9,6,6,5
ENSG00000116138,309,575,382,435,346,365,372,388
ENSG00000231207,0,0,0,0,0,0,0,0
ENSG00000142765,3,0,5,2,0,0,0,0
ENSG00000158161,387,745,481,494,350,272,343,354
ENSG00000270330,0,0,0,0,0,0,0,0
ENSG00000142684,0,0,0,0,0,0,0,0
ENSG00000060642,143,228,137,145,270,99,137,298
ENSG00000224064,0,0,0,0,0,0,0,0
ENSG00000234619,0,0,0,0,0,0,0,0
ENSG00000121769,13,56,18,37,36,42,84,27
ENSG00000236963,0,0,0,0,0,0,1,0
ENSG00000232557,0,0,0,0,0,0,0,0
ENSG00000157330,0,0,1,0,2,2,0,0
ENSG00000162413,1034,1743,1230,1174,1876,865,1259,973
ENSG00000142627,695,878,1077,1482,611,453,629,907
ENSG00000284668,0,0,0,0,4,0,0,0
ENSG00000233234,0,0,0,0,0,0,0,0
ENSG00000142632,53,94,77,57,110,18,53,16
ENSG00000234593,0,0,0,0,0,0,0,0
ENSG00000162490,8,50,6,182,9,1,9,96
ENSG00000158292,103,127,115,119,112,42,108,71
ENSG00000270605,7,0,3,6,4,3,2,8
ENSG00000238199,0,0,0,1,0,0,0,0
ENSG00000142733,429,360,561,413,324,317,465,190
ENSG00000189337,201,188,259,166,152,285,189,73
ENSG00000270601,0,0,0,0,0,0,0,0
ENSG00000233268,0,0,0,0,0,0,0,0
ENSG00000232912,0,0,1,3,0,0,1,2
ENSG00000235084,2,2,6,5,7,2,0,2
ENSG00000235143,0,0,0,0,0,0,0,0
ENSG00000225478,0,0,0,0,0,0,0,0
ENSG00000225077,0,1,4,1,3,0,4,2
ENSG00000028137,106,110,111,40,112,95,40,0
ENSG00000223944,0,0,0,0,0,0,0,0
ENSG00000238249,2,2,4,1,0,2,0,0
ENSG00000187952,0,0,0,0,0,0,0,0
ENSG00000237938,2,10,7,4,8,6,2,6
ENSG00000227409,0,0,0,0,0,0,0,0
ENSG00000204464,0,0,0,0,0,0,0,0
ENSG00000233372,0,0,0,0,0,0,0,0
ENSG00000162460,1,0,0,1,1,0,0,0
ENSG00000283259,0,0,0,0,0,0,0,0
ENSG00000142687,597,894,627,889,851,496,891,916
ENSG00000284543,0,0,0,1,0,0,0,0
ENSG00000223382,0,1,2,0,2,0,1,2
ENSG00000226166,0,0,0,0,0,0,0,0
ENSG00000130939,987,1263,1163,1201,1100,637,981,919
ENSG00000236216,0,1,0,0,0,0,0,0
ENSG00000175147,0,0,4,0,3,1,3,0
ENSG00000236266,0,1,1,0,1,0,2,1
ENSG00000127472,22,0,1,2,1,5,13,2
ENSG00000231103,0,0,0,0,0,0,0,0
ENSG00000060656,222,422,242,290,117,29,205,153
ENSG00000163867,135,204,138,168,165,85,115,109
ENSG00000232768,0,0,0,0,0,0,0,0
ENSG00000225294,0,0,0,0,0,0,0,0
ENSG00000230214,0,0,0,0,0,0,0,0
ENSG00000189280,0,3,3,4,14,0,8,7
ENSG00000134698,179,214,216,271,169,152,180,131
ENSG00000226487,0,0,0,0,0,0,0,0
ENSG00000134690,453,412,837,583,148,102,87,46
ENSG00000272420,0,1,0,1,2,0,0,1
ENSG00000224333,0,0,0,0,0,0,0,0
ENSG00000226664,0,0,0,0,0,0,0,0
ENSG00000132881,35,46,45,39,52,25,35,35
ENSG00000273274,0,0,0,0,0,1,0,3
ENSG00000224321,0,0,0,0,2,1,1,0
ENSG00000233621,23,47,13,32,34,13,9,26
ENSG00000228940,0,0,0,0,0,0,0,0
ENSG00000116251,894,1009,964,792,702,599,789,704
ENSG00000272510,0,0,0,0,1,0,0,0
ENSG00000158286,138,79,126,126,147,73,133,179
ENSG00000236648,0,0,0,0,0,0,0,0
ENSG00000232273,1,0,1,0,0,0,1,0
ENSG00000237276,11,4,4,1,20,1,3,2
ENSG00000227959,2,2,2,1,5,1,1,2
ENSG00000009709,0,0,0,0,0,0,0,0
ENSG00000043514,186,174,191,161,142,136,146,127
ENSG00000186543,0,0,0,0,0,0,0,0
ENSG00000287396,0,0,0,0,0,0,0,0
ENSG00000231789,1,3,2,3,2,0,1,3
ENSG00000162510,0,1,0,1,2,1,2,1
ENSG00000179002,0,0,0,0,0,0,0,0
ENSG00000223589,0,0,0,0,0,0,0,0
ENSG00000188984,0,0,0,0,0,0,0,0
ENSG00000229259,0,0,0,0,0,0,0,0
ENSG00000270171,0,0,0,0,0,0,0,0
ENSG00000158008,11,1,16,3,15,31,91,41
ENSG00000269732,0,0,0,0,0,0,0,0
ENSG00000130940,2,2,8,3,8,4,8,4
ENSG00000116771,11,25,24,17,40,3,13,14
ENSG00000237301,0,1,0,1,2,1,2,1
ENSG00000162585,422,606,412,575,560,272,389,358
ENSG00000163879,108,192,102,106,99,21,46,61
ENSG00000227527,3,2,2,0,1,2,1,0
ENSG00000127129,0,0,0,0,0,0,0,0
ENSG00000228823,0,0,0,0,0,0,0,0
ENSG00000010803,280,302,428,342,265,97,231,206
ENSG00000229901,1,0,0,0,2,0,0,0
ENSG00000169991,259,297,376,480,157,112,196,259
ENSG00000116954,330,334,475,336,438,292,460,192
ENSG00000117013,0,1,1,1,1,1,2,0
ENSG00000228589,4,12,6,8,7,2,3,7
ENSG00000163873,0,0,0,0,0,1,0,1
ENSG00000233431,0,0,0,0,0,0,0,0
ENSG00000117215,0,0,0,0,2,0,0,0
ENSG00000223583,0,3,1,1,1,0,0,3
ENSG00000196449,181,319,182,258,205,106,169,146
ENSG00000250575,0,0,0,0,0,0,0,0
ENSG00000237700,0,0,0,0,0,0,0,0
ENSG00000253368,737,1589,1369,1088,1138,200,635,771
ENSG00000179862,10,46,26,56,43,7,48,37
ENSG00000116661,1,4,4,11,7,0,9,34
ENSG00000230163,0,0,0,0,0,0,0,0
ENSG00000287400,0,0,0,1,0,0,0,1
ENSG00000227538,0,0,0,0,0,0,0,0
ENSG00000232208,0,0,0,0,0,0,0,0
ENSG00000162461,12,15,3,14,10,7,10,7
ENSG00000236500,0,0,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0,0,0
ENSG00000179051,961,1264,1458,1608,681,595,789,700
ENSG00000215895,10,19,15,10,11,8,12,19
ENSG00000231868,0,0,0,0,0,0,0,0
ENSG00000284650,0,0,0,0,0,0,0,0
ENSG00000237329,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,0,0
ENSG00000270850,0,0,0,0,0,0,0,0
ENSG00000053372,640,812,944,870,650,304,464,408
ENSG00000287510,0,0,0,0,0,0,0,0
ENSG00000126067,1889,2403,2196,2490,1876,979,1721,1938
ENSG00000274944,0,0,0,0,0,0,0,0
ENSG00000066136,318,377,447,411,357,189,312,214
ENSG00000132906,82,136,90,120,64,60,102,91
ENSG00000286668,0,0,0,0,0,0,0,0
ENSG00000197312,381,520,519,522,292,250,367,322
ENSG00000284748,0,0,1,0,0,1,1,0
ENSG00000272078,1,1,0,1,1,0,1,0
ENSG00000173660,886,1179,815,1090,890,457,716,704
ENSG00000224592,1,0,0,1,0,0,0,1
ENSG00000233728,0,0,0,0,0,0,0,0
ENSG00000230451,0,0,0,0,0,0,0,0
ENSG00000215893,0,0,0,0,0,0,0,0
ENSG00000231606,0,1,0,0,0,0,0,0
ENSG00000215900,0,0,0,0,0,1,0,0
ENSG00000092847,640,912,746,746,591,429,539,553
ENSG00000284632,0,0,0,0,0,0,0,0
ENSG00000204510,0,0,0,0,1,0,0,0
ENSG00000241014,2,2,1,3,1,1,1,3
ENSG00000054118,2312,2948,3056,2997,1909,1373,1921,2061
ENSG00000254553,0,0,0,0,0,1,0,0
ENSG00000230415,4,3,9,4,6,6,8,5
ENSG00000177181,0,0,0,0,0,1,0,3
ENSG00000284653,0,0,0,0,0,0,0,0
ENSG00000237749,1,0,0,0,1,0,0,0
ENSG00000224863,0,0,0,0,0,0,0,0
ENSG00000276747,0,0,0,0,0,0,0,0
ENSG00000284705,0,0,0,0,0,0,0,0
ENSG00000287828,22,4,11,11,0,8,3,1
ENSG00000228776,0,0,0,0,0,0,0,0
ENSG00000236009,0,0,0,0,0,0,0,0
ENSG00000228526,170,132,128,81,156,87,114,151
ENSG00000159339,0,0,0,2,0,0,0,0
ENSG00000284678,0,0,0,0,0,0,0,0
ENSG00000162373,3,3,3,2,1,9,5,1
ENSG00000223814,0,0,0,0,0,0,0,0
ENSG00000197982,320,511,367,610,558,264,528,439
ENSG00000225158,0,0,0,0,0,0,0,0
ENSG00000261781,0,0,0,0,0,0,0,0
ENSG00000183317,0,0,0,0,0,0,1,0
ENSG00000250894,0,0,0,0,0,0,0,0
ENSG00000232022,0,1,0,1,6,0,0,2
ENSG00000183386,298,290,359,552,274,70,243,279
ENSG00000284743,0,0,0,0,0,0,0,0
ENSG00000229528,0,0,0,0,0,0,0,0
ENSG00000158315,22,9,14,7,9,8,7,16
ENSG00000232514,0,0,0,0,0,0,0,0
ENSG00000229213,0,0,0,0,0,0,0,0
ENSG00000243749,0,0,1,1,2,1,1,1
ENSG00000204084,204,200,244,183,163,140,137,78
ENSG00000286064,5,8,6,1,3,2,4,6
ENSG00000235358,0,0,0,0,1,0,0,0
ENSG00000186973,1,2,0,0,2,0,0,1
ENSG00000233118,0,0,0,0,0,0,0,0
ENSG00000271806,0,0,0,0,0,0,0,0
ENSG00000142698,2,0,1,2,1,0,1,1
ENSG00000272084,1,3,2,1,2,1,2,3
ENSG00000146463,1081,1659,1169,1158,1135,732,1021,1038
ENSG00000279214,0,0,0,0,0,0,0,0
ENSG00000183520,593,809,732,779,613,262,494,381
ENSG00000271164,0,0,0,0,0,0,0,0
ENSG00000090686,986,1344,1045,1259,828,580,771,769
ENSG00000085998,1085,1750,1112,1750,1375,823,1398,1407
ENSG00000271741,0,1,0,0,0,0,0,0
ENSG00000226957,0,0,0,0,0,1,0,0
ENSG00000211454,4,2,5,2,2,2,4,3
ENSG00000214141,0,0,0,0,0,0,0,0
ENSG00000142686,336,472,353,396,406,219,380,310
ENSG00000224751,0,0,0,0,0,0,0,0
ENSG00000286597,0,0,0,0,0,0,0,1
ENSG00000279096,0,0,0,0,0,0,0,0
ENSG00000227857,0,1,0,1,0,0,0,0
ENSG00000213987,0,0,0,0,0,0,0,2
ENSG00000117148,2,0,2,2,1,1,1,1
ENSG00000230585,0,0,2,1,0,1,0,0
ENSG00000127125,371,352,359,337,394,230,372,322
ENSG00000197429,221,265,218,236,214,151,248,214
ENSG00000117000,327,413,377,365,278,270,315,261
ENSG00000284989,0,0,0,0,0,0,0,0
ENSG00000178585,191,164,193,242,94,88,165,125
ENSG00000231630,0,0,0,0,0,0,0,0
ENSG00000092853,371,356,636,612,168,91,50,21
ENSG00000255811,0,0,0,0,0,1,0,0
ENSG00000236253,0,0,0,0,0,0,0,0
ENSG00000198754,2,1,2,3,2,7,2,0
